printer_id,inventary_number,serial_number,status,date_exploitation_begin,name_frome_onec,number_room,year_created,printer_model_id
29,119GK48029,BL37TM110029,OK,2022-07-22,"Принтер производство КНР","105",2021,2
30,1193X7H030,GF87NM53D030,OK,2023-08-01,"МФУ производство КНР","190",2023,3
31,119YX78031,GF87NM500031,OK,2024-05-20,"МФУ производство КНР","301",2024,1
32,119GK48032,BL37TM110032,OK,2023-03-25,"Принтер производство КНР","105",2022,2
33,1193X7H033,GF87NM53D033,OK,2022-10-15,"МФУ производство КНР","190",2022,3
34,119YX78034,GF87NM500034,OK,2023-09-12,"МФУ производство КНР","301",2023,1
35,119GK48035,BL37TM110035,OK,2022-01-05,"Принтер производство КНР","215",2021,2
36,1193X7H036,GF87NM53D036,OK,2023-06-30,"МФУ производство КНР","190",2023,3
37,119YX78037,GF87NM500037,OK,2024-02-28,"МФУ производство КНР","402",2024,1
38,119GK48038,BL37TM110038,OK,2023-07-15,"Принтер производство КНР","105",2022,2
39,1193X7H039,GF87NM53D039,OK,2022-03-22,"МФУ производство КНР","190",2022,3
40,119YX78040,GF87NM500040,OK,2023-05-09,"МФУ производство КНР","301",2023,1
41,119GK48041,BL37TM110041,OK,2024-06-01,"Принтер производство КНР","105",2024,2
42,1193X7H042,GF87NM53D042,OK,2023-11-10,"МФУ производство КНР","190",2023,3
43,119YX78043,GF87NM500043,OK,2022-11-25,"МФУ производство КНР","301",2022,1
44,119GK48044,BL37TM110044,OK,2023-04-20,"Принтер производство КНР","215",2022,2
45,1193X7H045,GF87NM53D045,OK,2024-03-15,"МФУ производство КНР","190",2024,3
46,119YX78046,GF87NM500046,OK,2023-10-05,"МФУ производство КНР","402",2023,1
47,119GK48047,BL37TM110047,OK,2022-06-18,"Принтер производство КНР","105",2021,2
48,1193X7H048,GF87NM53D048,OK,2023-08-14,"МФУ производство КНР","190",2023,3
49,119YX78049,GF87NM500049,OK,2024-04-30,"МФУ производство КНР","301",2024,1
50,119GK48050,BL37TM110050,OK,2023-02-27,"Принтер производство КНР","105",2022,2
51,1193X7H051,GF87NM53D051,OK,2022-09-12,"МФУ производство КНР","190",2022,3
52,119YX78052,GF87NM500052,OK,2023-12-15,"МФУ производство КНР","301",2023,1
53,119GK48053,BL37TM110053,OK,2022-05-08,"Принтер производство КНР","215",2021,2
54,1193X7H054,GF87NM53D054,OK,2023-06-25,"МФУ производство КНР","190",2023,3
55,119YX78055,GF87NM500055,OK,2024-02-20,"МФУ производство КНР","402",2024,1
56,119GK48056,BL37TM110056,OK,2023-09-05,"Принтер производство КНР","105",2022,2
57,1193X7H057,GF87NM53D057,OK,2021-12-30,"МФУ производство КНР","190",2021,3
58,119YX78058,GF87NM500058,OK,2023-10-22,"МФУ производство КНР","301",2023,1
59,119GK48059,BL37TM110059,OK,2022-07-14,"Принтер производство КНР","105",2022,2
60,1193X7H060,GF87NM53D060,OK,2023-04-01,"МФУ производство КНР","190",2022,3
61,119YX78061,GF87NM500061,OK,2024-01-15,"МФУ производство КНР","301",2024,1
62,119GK48062,BL37TM110062,OK,2023-08-30,"Принтер производство КНР","215",2023,2
63,1193X7H063,GF87NM53D063,OK,2022-02-25,"МФУ производство КНР","190",2022,3
64,119YX78064,GF87NM500064,OK,2023-05-18,"МФУ производство КНР","402",2022,1
65,119GK48065,BL37TM110065,OK,2024-05-10,"Принтер производство КНР","105",2024,2
66,1193X7H066,GF87NM53D066,OK,2023-11-05,"МФУ производство КНР","190",2023,3
67,119YX78067,GF87NM500067,OK,2022-10-01,"МФУ производство КНР","301",2022,1
68,119GK48068,BL37TM110068,OK,2023-02-12,"Принтер производство КНР","105",2022,2
69,1193X7H069,GF87NM53D069,OK,2024-04-22,"МФУ производство КНР","190",2024,3
70,119YX78070,GF87NM500070,OK,2023-07-28,"МФУ производство КНР","301",2023,1
71,119GK48071,BL37TM110071,OK,2022-06-05,"Принтер производство КНР","215",2021,2
72,1193X7H072,GF87NM53D072,OK,2023-12-10,"МФУ производство КНР","190",2023,3
73,119YX78073,GF87NM500073,OK,2022-01-18,"МФУ производство КНР","402",2021,1
74,119GK48074,BL37TM110074,OK,2023-09-25,"Принтер производство КНР","105",2023,2
75,1193X7H075,GF87NM53D075,OK,2024-03-20,"МФУ производство КНР","190",2024,3
76,119YX78076,GF87NM500076,OK,2023-01-14,"МФУ производство КНР","301",2022,1
77,119GK48077,BL37TM110077,OK,2021-11-05,"Принтер производство КНР","105",2021,2
78,1193X7H078,GF87NM53D078,OK,2023-10-30,"МФУ производство КНР","190",2023,3
79,119YX78079,GF87NM500079,OK,2022-08-12,"МФУ производство КНР","301",2022,1
80,119GK48080,BL37TM110080,OK,2023-04-10,"Принтер производство КНР","215",2023,2
81,1193X7H081,GF87NM53D081,OK,2024-06-15,"МФУ производство КНР","190",2024,3
82,119YX78082,GF87NM500082,OK,2023-05-22,"МФУ производство КНР","402",2023,1
83,119GK48083,BL37TM110083,OK,2022-03-10,"Принтер производство КНР","105",2021,2
84,1193X7H084,GF87NM53D084,OK,2023-11-18,"МФУ производство КНР","190",2023,3
85,119YX78085,GF87NM500085,OK,2024-02-12,"МФУ производство КНР","301",2024,1
86,119GK48086,BL37TM110086,OK,2023-08-05,"Принтер производство КНР","105",2023,2
87,1193X7H087,GF87NM53D087,OK,2022-09-28,"МФУ производство КНР","190",2022,3
88,119YX78088,GF87NM500088,OK,2023-03-08,"МФУ производство КНР","301",2022,1
89,119GK48089,BL37TM110089,OK,2024-05-01,"Принтер производство КНР","215",2024,2
90,1193X7H090,GF87NM53D090,OK,2023-06-12,"МФУ производство КНР","190",2023,3
91,119YX78091,GF87NM500091,OK,2022-04-20,"МФУ производство КНР","402",2022,1
92,119GK48092,BL37TM110092,OK,2023-12-05,"Принтер производство КНР","105",2023,2
93,1193X7H093,GF87NM53D093,OK,2022-02-15,"МФУ производство КНР","190",2022,3
94,119YX78094,GF87NM500094,OK,2023-01-20,"МФУ производство КНР","301",2022,1
95,119GK48095,BL37TM110095,OK,2024-03-30,"Принтер производство КНР","105",2024,2
96,1193X7H096,GF87NM53D096,OK,2023-10-15,"МФУ производство КНР","190",2023,3
97,119YX78097,GF87NM500097,OK,2022-07-01,"МФУ производство КНР","301",2022,1
98,119GK48098,BL37TM110098,OK,2023-02-05,"Принтер производство КНР","215",2022,2
99,1193X7H099,GF87NM53D099,OK,2024-04-15,"МФУ производство КНР","190",2024,3
100,119YX78100,GF87NM500100,OK,2023-08-10,"МФУ производство КНР","301",2023,1
